* Klijenti: --- 1,4423558712005615 seconds ---
(2.3655085157059794, 9.197623924987052)
(0.26478415738318617, 8.49465116682817)
(1.0560360845386008, 1.4443651988927648)
(-8.166369334452806, 7.61814534733049)
(9.27457532218261, -3.807992902515636)
(-2.2741315714319192, -8.544777350941342)
(-3.0594294243355247, 1.3822222703957934)
(8.985358741578938, -2.5619335827094663)
(-6.702461812714726, 4.537646361697991)
(-1.317781608579164, -8.37680432903442)
(-7.272228813935024, 1.5360935650285334)
(-8.411854223849915, -4.760597714188412)
(3.938025686960252, 0.34645685236343127)
(8.819467099708497, -2.7432690625545213)
(-9.513833760322905, 7.74814491344636)
(3.52744008692242, 8.733281325422134)
(0.3967701787653315, 5.379261437114799)
(-9.34790247198248, 5.1696978659085175)
(-6.023618854408898, -0.5966362407908772)
(4.332645909743185, -1.3727320458075383)
(7.131612564301257, 0.35364805440781844)
(-5.830139291721201, 5.2520943347054185)
(-1.8360865563526918, 0.8742746662857765)
(7.268547781332064, -3.2532835051917175)
(-7.629870305168563, -5.064497354650377)
(-8.46070121430363, -0.06485328420606074)
(8.939670576160353, -7.646389080329838)
(6.168854487429492, -1.9003387082273484)
(7.847831928009672, -6.141174366400097)
(-9.919477815168289, -6.465837002200994)
(-5.819998077944373, 0.8221937329612103)
(-3.675527173650459, -3.8093173962445697)
(-8.029020310721386, 7.14895658150764)
(8.886226694215125, -3.27932979730927)
(-4.89075329935708, -4.510679135277053)
(1.876765838157322, 4.26854593725864)
(-6.125423072694707, 0.5128989245060271)
(-2.9895054355261212, -3.3032064267953913)
(-8.556061163555121, -2.653515556029003)
(2.16091387472456, 3.401142495846443)
(7.750361689998975, -3.272127378213659)
(-9.310961595238023, 5.619470705914459)
(7.606881786812021, -5.022652361275544)
(9.963182847578597, -8.34844797151786)
(8.406937294651932, 0.9485425060933714)
(2.5713015943058775, -5.720718782537366)
(1.6127535405780424, -8.256559276378958)
(9.629558834891526, -2.782420346158365)
(4.461698355219934, 9.900324175251988)
(2.258789182568268, -9.434556266826647)
(-1.116268904987873, 7.631675328601901)
(5.93015419119882, -9.474857619737435)
(-5.776361207381031, -6.440869648378847)
(-9.476554674747025, 5.6329495506326825)
(-6.12526436101287, 1.270507515742894)
(-6.001128631212254, -8.945104207096989)
(4.911435809883624, 7.419967300568274)
(-4.051922740497911, 9.683131459287637)
(1.5478847369199258, 1.1699975897493147)
(-1.8188336244661691, 3.2179739322865597)
(9.658892355842212, 4.390442427562217)
(-3.7114512360892826, 7.433407224899653)
(-9.50621630281403, 7.602273922656359)
(-0.8600699676217829, -7.081510124420101)
(-3.398281221953596, -4.237669879113641)
(4.541525297277937, 9.750993297635972)
(1.3855519281417372, 6.394424252823637)
(-3.045023675428757, -5.2956140040248005)
(2.2137116980757714, 2.0344801586418484)
(-9.026505152780828, 6.023023291273589)
(8.043806132830262, -4.960949760059739)
(6.170364030802467, 2.1210579081408945)
(-4.916718469862074, -4.656109653140772)
(-9.510990420143537, 2.602714537397892)
(3.104384237011095, 1.993940528524714)
(0.6826301941125621, 7.128144856591433)
(-2.621557160996419, -0.38305143845995104)
(-5.792836873731306, -2.2381624750204665)
(-9.641147992840045, -8.037020515974145)
(-9.507643968303833, 7.475068966600023)
(0.6723227316161395, -5.7546337729837145)
(-4.900869806593704, -5.913327131815311)
(9.884323331395198, 0.4256855779231312)
(-7.174546945689196, 9.719242615850227)
(8.269239979395127, -4.593595251104641)
(3.0865136516712344, 2.300069318451987)
(7.1144691618277065, -6.9598323687593355)
(-5.646655069176023, 9.883174461385611)
(-0.6906835097253214, -1.7144620809135507)
(0.6492888224373683, 7.069656301742494)
(-7.0117655466389595, -8.034334507550547)
(-0.12177796335569191, -0.981792869760401)
(-0.8700031991511548, -0.6626319187921474)
(-1.4551882517369847, -7.730351477782699)
(-5.072307906579825, 4.251367431387894)
(0.26431673836976444, -0.8524671976465399)
(7.761801754516597, 9.02027791769033)
(3.5223007921986653, -1.1010684642543804)
(5.846099120318444, 3.0104741399611825)
(1.005395815051104, 2.194300997391869)
(5.334966410517126, -1.1344398624038128)
(2.462492000445236, -2.7278393004943453)
(1.9014309449475384, 7.801566095314975)
(6.203152585188992, 5.120077775989376)
(-9.65205228911605, -7.847171222028139)
(6.73600793766478, -8.793933947593223)
(3.2707927443153846, 5.055016469722267)
(-0.9371194887511347, 4.124902218005722)
(9.24843479339933, -2.256854307296514)
(-5.0021474260006515, 9.087073638560351)
(-7.507099222831359, 0.11840161389975634)
(-5.775171673636484, -7.774124270165972)
(3.737202355496523, -1.0042566432694855)
(-2.439548503970501, 2.1325562736705894)
(-9.166732009578576, -3.6997729699182136)
(2.913790729243672, -5.477457000235903)
(6.127459480440017, -1.982505997696009)
(-7.553062029761128, 3.4040696813940308)
(4.24252744358677, -1.2834131132769926)
(3.738815886327643, 7.572574832068753)
(1.038852589637493, 9.157963735005353)
(-8.871437017418502, -7.3392838895360875)
(-1.8853944070415523, -8.803731311930484)
(9.450257887067135, -6.01660284287147)
(0.5568972302866193, -9.96196026701792)
(3.6405352538695332, 2.2551117838358277)
(-9.226242548744935, -1.5098881926875318)
(6.406140699135854, 8.063286604008521)
(-4.993624111372155, -1.3211051248809742)
(4.825088018660432, 6.146981065939443)
(6.670459841969226, 0.8667386769566594)
(0.3811790282690062, 2.825951540965857)
(4.3238056705926375, 1.001310032466904)
(-1.654078791214884, 3.2061967020865723)
(-5.5578367380265785, -2.4910155759159913)
(8.77858165887622, -2.692941253251801)
(-5.78903127616517, 6.096738797379441)
(2.2279503676494876, 0.6595333280231213)
* Pocetna postrojenja:
(4.6708725595650264, -3.8065475347193223)
(-6.599315657200728, -9.587127319916078)
(1.1056715584210792, 9.359961994657532)
(6.7789257944053425, 9.513402114740902)
(1.6721609886042632, -8.59624350116565)
(6.169161329087693, -9.602035420769763)
(-5.289025666996244, 6.558827089622273)
(8.153404803234938, -5.216967131783498)
(-8.538609223814648, -8.038773865152052)
(1.6052699505881023, -7.783963472158852)
(-4.5621222358280855, -1.308900530563033)
(8.18328744320318, 7.716954891879205)
(1.128406629132181, -0.19796596498023789)
(-1.2780389493350146, 7.59198440365067)
(2.533819058113183, 0.11014053405043533)
(-2.9361585020440923, -4.991557131672357)
(-1.6428325521554292, 2.510181943037825)
(-7.718442351890371, -4.512456401690592)
(-7.116970913533072, 7.280577620783756)
(-5.690393407409995, 3.054213867299339)
(-4.526106579343542, 0.22083490905700387)
(-6.907671030685433, 1.981370724560957)
(-4.697803270109631, -6.674725416733018)
(8.633220348535371, 8.146657895706532)
(-0.5410782499695515, -1.5463133031454905)
(-8.877359129645468, -2.2086636858784248)
(0.5022058475486357, -4.797364319474475)
(-5.826301291320329, -3.4950347680438103)
(1.5884255447854976, -3.1455813738138394)
(-0.6852262496898405, -7.859016030669183)
(-0.9632329409923557, 4.609594514496891)
(-5.069116480797686, -5.542296295826423)
(6.153532173466395, 0.7259817175559018)
(-0.19321033548728828, -2.3685489084605376)
(6.213809141943777, -1.6060249993636546)
(-2.4856243993857063, 2.5645572894021225)
(4.312221557066966, -0.46306332429864305)
(-8.357914691107172, -4.049665097745169)
(-0.10860188990263708, -8.089400892539604)
(-5.890373100971886, 1.8952266920228276)
(-4.380391084620845, 0.2991136407215311)
(7.635057375214579, -1.695111668170517)
(9.426150259019966, -0.6526289308397875)
(5.386244806932073, 8.333440909859913)
(-6.1404725487053735, 0.027732738813490698)
(6.479211156651431, 3.487015872305573)
(-8.347680282858969, 8.101176174441672)
(4.677578474241251, -9.60898268387018)
(4.436516516330764, -8.101959880663802)
(-9.45311847859639, 2.5449391915731017)
* Nova postrojenja:
(4.919098243374194, -4.19454748591246)
(-6.330936029358523, -9.403687158274616)
(1.1758537706861383, 9.234760008456472)
(6.7789257944053425, 9.513402114740902)
(1.477184219088897, -8.475528517661447)
(6.177690659394333, -9.419169214517684)
(-5.305359492021918, 6.569500689406884)
(8.180248985649058, -5.201757057730074)
(-8.538612165458945, -8.035894236104154)
(1.6052699505881023, -7.783963472158852)
(-4.554866997881213, -1.3540227693646136)
(8.18328744320318, 7.716954891879205)
(1.014611570263281, -0.15206507619792065)
(-1.2304780528622423, 7.688156348025869)
(2.109901236661956, 0.5442576953205867)
(-3.578768829494207, -3.758876191863319)
(-1.708006086567661, 2.51526877234103)
(-7.718442351890371, -4.512456401690592)
(-7.402480079935175, 7.490054881962054)
(-5.522388109953196, 3.5723622654930773)
(-4.526106579343542, 0.22083490905700387)
(-6.691116770559848, 2.405874177874998)
(-5.776151702174429, -6.6756875224158785)
(9.109947183333976, 8.40348847628755)
(-0.4612506335109363, -0.9372961063612313)
(-8.832243679419106, -2.1822254107065)
(0.5193510834183481, -5.757365784428982)
(-5.9928713902133595, -3.416758424750559)
(1.5884255447854976, -3.1455813738138394)
(-1.0849065361657317, -7.71778300489828)
(-0.7090889162253082, 4.339336933149028)
(-4.8982026616794325, -5.543529000604968)
(6.5056056028405695, 0.8164533054144599)
(-0.19321033548728828, -2.3685489084605376)
(6.112564039851878, -1.6268647619413836)
(-2.2461192192214496, 2.366692484042851)
(4.271762303916532, -0.46162400051528896)
(-8.729560842110963, -4.314126711277126)
(-0.10860188990263708, -8.089400892539604)
(-5.890373100971886, 1.8952266920228276)
(-4.356261071209282, -0.4397071638528507)
(8.12382947175381, -2.908866476138889)
(9.330894864797159, -0.7058285690068173)
(5.041245770477968, 8.38008549148624)
(-6.081404447287412, 0.03315246959676277)
(6.681299351725704, 4.390663378612447)
(-8.482439288139847, 7.9851056588568206)
(4.677578474241251, -9.60898268387018)
(4.436516516330764, -8.101959880663802)
(-9.46902538482628, 2.6125829159874123)
